,Diet,Cuisine,Home_or_restaurant,Healthiness_rating,Likeness,Dish_name,Ingredients,Healthiness_rating_int,Likeness_int,filenames
11,non_vegetarian,indo_chinese,home,neutral,strongly_like,egg_fried_rice,"eggs,white_rice,spices,green_chillis,oil,pepper",3.0,5.0,000113.jpg
12,non_vegetarian,indian,home,healthy,dislike,butter_chicken_with_rice,"for_butter_chicken:_chicken_pieces,yogurt,ginger-garlic_paste,red_chili_powder,garam_masala,turmeric_powder,lemon_juice,cooking_oil,butter,onions,tomatoes,cashew_nuts,fresh_cream,kasuri_methi_(dried_fenugreek_leaves),salt,water._for_rice:_rice,water,salt",4.0,2.0,000116.jpg
13,vegetarian,indian,home,very_healthy,neutral,dal_rice,"dal,rice,oil,onion,spices",5.0,3.0,000125.jpg
14,vegan,indian,home,very_healthy,like,boiled_rice,"water,basmati_rice,salt",5.0,4.0,000130.jpg
15,non_vegetarian,indian,restaurant,neutral,like,biryani,"rice,spices,chicken",3.0,4.0,000134.jpg
16,vegetarian,indian,home,neutral,neutral,fried_rice,"rice,mustard_seeds,grated_coconut,red_chilli",3.0,3.0,000135.jpg
17,vegetarian,indian,home,healthy,like,"rice_with_plain_lentil_soup,stir_fried_radish_leaves_and_salad","rice,pigeon_peas,salt,turmeric,radish_green_leaves,garlic,ginger,green_chili,carrot,cucumber,radish,",4.0,4.0,000136.jpg
18,vegan,american,restaurant,unhealthy,like,potato_wedges,"potatoes,olive_oil,salt",2.0,4.0,000140.jpg
20,vegetarian,indian,home,healthy,dislike,rice_flour_smush_with_chutney,"rice_flour,coconut,garlic",4.0,2.0,000153.jpg
21,non_vegetarian,english,restaurant,healthy,dislike,grilled_chicken_wings_and_chips,"1/2_chicken,olive_oil,salt,pepper,herbs/spices,lemon_juice",4.0,2.0,000160.jpg
22,vegan,chinese,home,neutral,like,steamed_rice,rice,3.0,4.0,000186.jpg
23,non_vegetarian,british,restaurant,unhealthy,like,chicken_burger_and_chips,"burger_bread,chicken_breast,cheddar_cheese,ketchup,mayonnaise,potato,salt,pepper",2.0,4.0,000194.jpg
24,non_vegetarian,american,restaurant,unhealthy,like,spicy_chicken_burger_with_chips,"chicken,chips,cheese,bacon,buns,lettuce,tomato",2.0,4.0,000197.jpg
25,non_vegetarian,indian,home,healthy,like,rice_with_egg_curry,"egg,rice,onion,tomato,ginger_garlic_paste,spices,oil",4.0,4.0,000198.jpg
26,vegetarian,indian,home,neutral,like,veg_biryani_and_curd,"rice,spices,salt,oil,corriander,curd,onion,cauliflower",3.0,4.0,000201.jpg
27,non_vegetarian,british,harper's_steakhouse_weighbridge,neutral,like,fish_and_chips,"beer_battered_haddock,minted_peas,tartare_sauce",3.0,4.0,000219.jpg
28,non_vegetarian,portuguese,restaurant,neutral,neutral,chicken_wrap_and_chips,"tortilla,chicken_strips,lettuce,mayonnaise,lemon_and_herb_sauce,chips",3.0,3.0,000235.jpg
29,non_vegetarian,south_asian,home,very_healthy,strongly_like,"chicken_pieces,vegetables_and_rice","rice,onion,vegetable_oil,salt,vitamins",5.0,5.0,000253.jpg
31,non_vegetarian,indian,the_curve,neutral,neutral,chicken_kebab_gyro,"chicken_kebab,fries,flat_bread,garlic_sauce,chilli_sauce,pickled_red_cabbage",3.0,3.0,000276.jpg
32,non_vegetarian,nigerian,home,neutral,strongly_like,rice_and_turkey,"rice,palm_oil,sunflower_oil,tomatoes,thyme,garlic,maggi,curry_powder,chilli_pepper,chicken_stock,salt,turkey",3.0,5.0,000291.jpg
33,vegetarian,indian,home,healthy,like,toor_daal_khichdi_and_kadi,"rice,toor_dal,potato,yogurt,spices",4.0,4.0,000299.jpg
34,non_vegetarian,british,old_building-lse,unhealthy,strongly_like,fish_and_chips,"haddock,potatoes,oil,flour,salt,peas,mayonnaise",2.0,5.0,000301.jpg
35,vegetarian,indian,home,healthy,neutral,potato_cauliflower_with_rice,"rice,potato,cauliflower",4.0,3.0,000305.jpg
36,vegan,american,restaurant,very_unhealthy,strongly_like,french_fries,"potatoes,salt,cajun_seasoning",1.0,5.0,000308.jpg
37,non_vegetarian,english,restaurant,healthy,neutral,grilled_chicken_strips_and_chips,"chicken_breast,olive_oil,salt,pepper,herbs/spices,lemon_juice",4.0,3.0,000316.jpg
38,non_vegetarian,indian,resturant,neutral,like,mutton_biryani,"rice,mutton,green_chilli,biryani_masala,onions,garlic",3.0,4.0,000320.jpg
39,non_vegetarian,american,mcdonalds,unhealthy,dislike,double_cheeseburger_saver_meal,"cheese,tomato_ketchup,mustard,onion,dill_pickle_slice,beef_patty,lettuce,bun,fries,coke",2.0,2.0,000328.jpg
40,vegetarian,norwegian,restaurant,healthy,like,king_crab,"french_fries,king_crab,shrimp,lettuce,seaweed",4.0,4.0,000336.jpg
41,vegetarian,british,tcr_bar,neutral,strongly_like,fish_and_chips,"cod,beer,flour,tartare_sauce,peas,oil",3.0,5.0,000350.jpg
42,non_vegetarian,british,restaurant,unhealthy,like,beef_burger_with_fries,"french_fries,bread,beef",2.0,4.0,000354.jpg
43,non_vegetarian,pakistani,home,healthy,neutral,rice_and_chicken_curry,"rice,chicken_drumsticks,curry_sauce,peas",4.0,3.0,000361.jpg
44,non_vegetarian,american,chicken_world,very_unhealthy,like,chicken_wings_and_chips,"corn_flour,potato,baking_soda,chicken,oil,pepper,potato",1.0,4.0,000364.jpg
45,non_vegetarian,chinese,home,unhealthy,strongly_like,chicken_fried_rice_and_chilli_chicken,"rice,peas,egg,chicken,spring_onions,carrots,soya_sauce,green_chilli,corriander,oil,onion,cabbage",2.0,5.0,000368.jpg
46,non_vegetarian,american,restaurant,very_unhealthy,like,burger_and_fries,"brioche_bun,chicken_breast,bbq_sauce,cheese,onions,pickles,french_fries,ranch_sauce",1.0,4.0,000376.jpg
51,vegetarian,chinese,homemade,healthy,like,fried_rice,"cooked_rice,vegetables,cooking_oil,protein,eggs,soy_sauce,salt_and_pepper,chilli_sauce,oyster_sauce,mirin,sesame_seeds",4.0,4.0,000429.jpg
52,non_vegetarian,portuguese,restaurant,neutral,like,loaded_fries,"chips,pulled_chicken,bbq_sauce,creamy_dressing,spring_onions,cheddar_cheese",3.0,4.0,000434.jpg
53,non_vegetarian,indian,restaurant,healthy,strongly_like,chicken_tikka_rice,"chicken,tikka_masala_and_rice",4.0,5.0,000437.jpg
55,non_vegetarian,mediterranean,home,healthy,like,"rice,chicken_and_vegtables","rice,turmeric,chicken_leg,salt,garlic_powder,onion_powder,smoked_paprika,black_pepper_olive_oil,potato,basil,carrots,zucchini",4.0,4.0,000449.jpg
56,non_vegetarian,pakistani,home,healthy,strongly_like,"rice,lamb_curry_and_salad","rice,lamb,curry_sauce,lettuce,cucumber,feta,tomatoes,olives",4.0,5.0,000464.jpg
57,vegetarian,indian_mix_match,resturant,healthy,like,chappati_with_fried_rice_and_white_sause_pasta,"wheat_flour,water,olive_oil,rice,vegetables,onion_tomato,coriander_leaf,pasta,cheese,milk,turmeric_powder,mix_spices,oregano,chilli_flakes,salt",4.0,4.0,000466.jpg
58,vegetarian,indian,home,healthy,strongly_like,paneer_fried_rice,"rice,paneer,capsicum,onion,spices,salt,oil",4.0,5.0,000467.jpg
59,vegetarian,indian,home,very_healthy,strongly_like,lemon_rice,"rice,lemon,chillies,spices,salt",5.0,5.0,000469.jpg
60,vegetarian,british,restaurant,healthy,dislike,braised_pork_with_rice,"rice,pork,cabbage,bean_sprouts",4.0,2.0,000472.jpg
61,non_vegetarian,bangladeshi,home,unhealthy,like,chicken_jalfrezi_with_pilau_rice,"chicken,cumin,turmeric,ginger,garlic,sunflower_oil,tomatoes,onions,red_chilli_powder,salt,turmeric,bell_peppers,rice,chicken_stock,tomato_puree",2.0,4.0,000478.jpg
62,non_vegetarian,south_asian,home,healthy,strongly_like,wings_and_spicy_rice,"rice,onion,vegetable_oil,salt,pepper,bbq_sauce",4.0,5.0,000480.jpg
66,non_vegetarian,african,green_pepper,unhealthy,dislike,chicken_with_fries,"chicken,flour,oil,potatoes,salt,pepper,hot_sauce",2.0,2.0,000552.jpg
68,non_vegetarian,british,restaurant,healthy,strongly_like,fish_and_chips,"breaded_cod,fried_potatoes",4.0,5.0,000582.jpg
69,vegetarian,taiwanese,home,healthy,like,fried_rice,"egg,rice,bean",4.0,4.0,000618.jpg
70,non_vegetarian,mexican,resraurant,unhealthy,strongly_like,"mexican_chicken,chicken_wings_and_fries","chicken,lime_juice,olive_oil,garlic,chili_powder,cumin,paprika,cayenne_pepper,black_pepper,fresh_cilantro,potatoes,salt,chicken_wings,cooking_oil,flour,pepper",2.0,5.0,000629.jpg
71,vegetarian,british,restaurant,healthy,dislike,fried_chicken_steak,"french_fries,chicken,cucumbers,tomatoes,lettuce",4.0,2.0,000651.jpg
72,non_vegetarian,international,wngz,very_unhealthy,like,loaded_fries,"cheese,jalapenos,chicken,onions,spring_onions,sriracha,fries",1.0,4.0,000667.jpg
75,non_vegetarian,panasian,bananatree,healthy,strongly_like,tamarind_fish_and_rice,"fish_fillets,garlic,chili,tamarind_sauce,sweet_basil,crusjed_nuts",4.0,5.0,000698.jpg
76,vegetarian,mexican,restaurant,healthy,neutral,mexican_rice,"puffed_rice,garlic,onion,cumin_and_chilli_powder",4.0,3.0,000715.jpg
77,non_vegetarian,indian,grilled_cottage_watford,unhealthy,strongly_like,spicy_grilled_chicken_and_cumin_rice,"chicken,rice,spices,garlic",2.0,5.0,000720.jpg
79,non_vegetarian,chinese,home,neutral,like,egg_fried_rice,"cooked_rice,oil,vegtables,eggs,soya_sauce,ginger,garlic,green_chilly,tomato_sauce,pepper_powder,salt",3.0,4.0,000735.jpg
81,non_vegetarian,persian,home,neutral,like,gheyme_with_rice,"split_pea,meat,tomato_paste,potatoes,rice",3.0,4.0,000740.jpg
82,vegetarian,indian,home,healthy,strongly_like,dal_chawal,"basmati_rice,ghee,masoor,asafoetida,cumin_seed,turmeric",4.0,5.0,000755.jpg
83,vegetarian,american,home,very_unhealthy,dislike,potato_wedges,"potatoes,olive_oil,garlic_powder,onion_powder,smoked_paprika,pepper,salt",1.0,2.0,000769.jpg
84,non_vegetarian,american,five_guys_watford,unhealthy,strongly_like,hamburger_with_fries,"beef,bread,tomato,lettuce,pickles,onion,mayonnaise",2.0,5.0,000772.jpg
85,vegan,indian,restaurant,healthy,strongly_like,spicy_puffed_rice,"puffed_rice,tamrind_and_date_sauce,onion,tomato,coriander,chilli,chilli_sauce,lemon",4.0,5.0,000782.jpg
87,non_vegetarian,south_african,restaurant,healthy,strongly_like,nando's_butterfly_chicken_with_garlic_bread_and_peri-peri_fries,"for_butterfly_chicken:
whole_chicken,nando's_peri-peri_sauce_or_marinade,olive_oil,lemon_juice,salt,black_pepper,garlic
for_garlic_bread:baguette_or,french_bread,butter,garlic,cloves
for_peri-peri_fries:
potatoes,nando's_peri-peri_spice,olive_oil,salt_and_pepper",4.0,5.0,000814.jpg
88,non_vegetarian,german,buns_&_berries,unhealthy,strongly_like,beef_burger_with_chips,"beef_patty,bun,breaded_onion,bbq_sauce,chilli_sauce,lettuce,tomato,cheddar,potato,oil",2.0,5.0,000845.jpg
89,non_vegetarian,indian,home,healthy,like,rice_with_mutton_curry,"rice,lamb,spices,chilly_powder,tomato,onion,sunflower_oil,coriander_powder_and_salt",4.0,4.0,000862.jpg
91,vegetarian,indian,home,healthy,like,rice_flakes_upma,"rice_flakes,carrot,onion,ginger,green_peas,french_beans,peanuts,raisins",4.0,4.0,000872.jpg
92,vegetarian,fast_food,restaurant,unhealthy,dislike,double-burger_meal,"double-burger:_burger_buns,veggie_patties,lettuce,tomatoes,onions,pickles,cheese,condiments,spices,cooking_oil,jealepones,mushrooms.
fries:_potatoes,salt,cooking_oil,paprika,garlic_
powder,extra_seasoning",2.0,2.0,000873.jpg
93,non_vegetarian,american,restaurant,unhealthy,like,chicken_burger_with_fries_and_wings,"fried_chicken_breast,lettuce,ketchup,sesame_seed_bun,mayonnaise,fried_potatoes,fried_chicken_wings",2.0,4.0,000887.jpg
94,non_vegetarian,british,restaurant,unhealthy,like,fried_chicken_and_chips,"chicken_wings,potato,peanut_oil,coriander,salt",2.0,4.0,000889.jpg
95,vegetarian,indian,home,very_healthy,strongly_like,seasoned_rice_with_tempering,"rice,onions,coriander_leaves,mint_leaves,green_chillies,ginger-garlic_paste,black_pepper,bay_leaf,cardamom,cumin_seeds,cinnamon_stick,cloves,oil,salt,turmeric_powder,water",5.0,5.0,000891.jpg
96,vegetarian,srilankan,home,healthy,like,sri_lankan_curry_and_rice,"rice,red_lentils,spinach,vegetable_oil,curry_powder,onions,tomato_paste",4.0,4.0,000904.jpg
97,non_vegetarian,american,restaurant,unhealthy,neutral,grilled_chicken_and_fries,"grilled_chicken_leg,fried_potatoes,",2.0,3.0,000907.jpg
98,vegetarian,american,burger_and_chop,very_unhealthy,strongly_like,chilli_cheese_fries,"fries,chillies,bbq_sauce,spicy_mayo",1.0,5.0,000912.jpg
99,non_vegetarian,chinese,mr_wong’s_wok_&_box_️,unhealthy,strongly_like,fried_rice,"rice,beef_slices,porret,chilli,oil,etc",2.0,5.0,000924.jpg
100,non_vegetarian,chinese,restaurant,healthy,strongly_like,king_prawn_fried_rice,"prawns,rice_peanut_oil,soy_sauce,eggs,garlic,onions",4.0,5.0,000930.jpg
101,non_vegetarian,chinese,home,healthy,strongly_like,rice_cake_soup,"rice_cake,pork,tomato,mashroom,chinese_leaves,salt,garlic",4.0,5.0,000952.jpg
102,vegetarian,indian,home,healthy,like,paneer_pyaza_with_rice,"cottage_cheese,onion,tomato,ginger-garlic_paste,red_chilli_powder,tumeric_powder,coriander_powder,warming_spice,rice,oil,salt",4.0,4.0,000981.jpg
103,vegan,chinese,home,neutral,neutral,rice,rice,3.0,3.0,000994.jpg
104,non_vegetarian,american,restaurant,very_unhealthy,strongly_like,fried_chicken_and_chips,"chicken,flour,oil,potato",1.0,5.0,000996.jpg
105,non_vegetarian,british,restaurant,healthy,dislike,sausage_with_chips_and_eggs,"pork_sausage,eggs,potato,oil,salt",4.0,2.0,001016.jpg
106,vegetarian,british,south_oxhey_fish_and_chips,very_unhealthy,like,chunky_chips,"potato,oil",1.0,4.0,001037.jpg
107,vegetarian,indian,home,very_healthy,strongly_like,rajma_chawal,"kidney_beans,spices,chillies,rice",5.0,5.0,001042.jpg
109,vegetarian,belgian,domino’s,unhealthy,dislike,fries,"mashed_potatoes,salt",2.0,2.0,001073.jpg
111,non_vegetarian,portuguese,restaurant,neutral,strongly_like,grilled_chicken_wrap,"chips,chicken,lettuce,peri-peri_sauce,halloumi,",3.0,5.0,001084.jpg
112,non_vegetarian,british,restaurant,neutral,like,beef_with_vegetable_box,"beef,chips,vegetable",3.0,4.0,001106.jpg
114,vegetarian,american,home,healthy,strongly_like,french_fries,"potato,oil,salt",4.0,5.0,001124.jpg
115,non_vegetarian,american,restaurant,very_unhealthy,strongly_like,kentucky_fried_chicken,"popcorn_chicken,fries,burger,chicken_wrap",1.0,5.0,001138.jpg
116,non_vegetarian,british,restaurant,neutral,neutral,cod_and_chips_with_salad,"fish_fillets,all-purpose_flour,baking_soda,salt,pepper,beer,potato,",3.0,3.0,001146.jpg
117,vegetarian,indian,home,neutral,strongly_like,shahi_paneer_with_basmati_rice,"tomato,garlic,ginger,onions,cream,corriander_leaves,rice",3.0,5.0,001149.jpg
118,vegetarian,pakistani,home,very_healthy,like,red_kidney_beans_and_rice,"tomatoes,onions_garlic,herbs,rice",5.0,4.0,001150.jpg
119,non_vegetarian,fast_food,restaurant,healthy,strongly_like,chicken_grizzler_burger,"burger_buns,chicken_patty,mayo,leafy_green,onions,cheese,gerkin,tomato,relish_sauce,potato_fries,cheese",4.0,5.0,001156.jpg
121,non_vegetarian,american,kfc,very_unhealthy,strongly_like,chicken_and_chips,"chicken,potato,breadcrumbs,bbq_sauce,gravy,chicken_stock,salt",1.0,5.0,001181.jpg
122,non_vegetarian,indian,home,healthy,like,rice_with_chicken_curry,"chicken,chicken_curry_powder,onion,tomato,sunflower_oil_and_rice",4.0,4.0,001216.jpg
123,non_vegetarian,indian,restaurant,unhealthy,dislike,chikken_tikka_with_chips,"chicken_pieces,yogurt,ginger_garlic_paste,lemon_juice,chilli_powder,turmeric_powder,cumin_powder,coriander_powder,garam_masala,salt,potato,vegetable_oil",2.0,2.0,001220.jpg
124,vegetarian,indian,home,healthy,neutral,vegetable_fried_rice,"rice,onion,tomato,turmeric_powder,red_chilli_powder,mushroom,green_bell_pepper",4.0,3.0,001239.jpg
125,vegetarian,french,restaurant,unhealthy,like,cheese_french_chips,"french_friec,cheddar_cheese,mozaralla_cheese,onions,spices",2.0,4.0,001244.jpg
127,non_vegetarian,bangladeshi,home,healthy,strongly_like,chicken_curry_with_lentils_and_rice,"chicken,onion,vegetable_oil,tomato,potato,ginger,garlic,green_chilli,curry_powder,garam_masala,cinnamon,turmeric,cumin,lentil,clove,bay_leaf,rice,",4.0,5.0,001249.jpg
128,non_vegetarian,indian,home,healthy,strongly_like,chicken_curry_with_rice,"chicken,yoghurt,onion,tomato,garlic,ginger,olive_oil,rice",4.0,5.0,001271.jpg
130,non_vegetarian,american,restraurant,neutral,strongly_like,bbq_smoky_king,"beef_patty,lettuce,mayonaisse,french_fries,bun",3.0,5.0,001308.jpg
131,non_vegetarian,somali,home,very_healthy,strongly_like,"rice,lamb_meat_and_vegetables","cubed_lamb,potatoes,peas,sweetcorn,carrots,banana,onions,rice",5.0,5.0,001313.jpg
133,non_vegetarian,portuguese,restaurant,neutral,strongly_like,piri_piri_burger_and_chips,"bun,marinated_chicken,potatoe,lettuce,tomatoes",3.0,5.0,001330.jpg
134,non_vegetarian,indian,home,healthy,strongly_like,ghee_rice_with_chicken_curry,"steamed_rice,ghee,cashew,chicken,onions,tomatoes,ginger-garlic_paste,green_chilies,curry_leaves,coriander_leaves,turmeric_powder,coriander,red_chili_powder,garam_masala,coconut_milk,cooking_oil,salt,water",4.0,5.0,001341.jpg
135,non_vegetarian,south_african,nandos,neutral,neutral,fully_loaded_chips,"chicken,cheese,chips,spring_onions,",3.0,3.0,001350.jpg
136,non_vegetarian,american,restuarent,neutral,strongly_like,cheese_burger_and_french_fries,"burger_bun,lettuce,tomato,onion,cheese,ketchup,chicken_patty,cheese,mayonnaise,salt,pepper,potato,oil",3.0,5.0,001351.jpg
137,non_vegetarian,norwegian,restaurant,neutral,neutral,whale_burger,"bread,french_fries,whale_meat",3.0,3.0,001368.jpg
140,non_vegetarian,british,restaurant,neutral,dislike,beef_with_rice_rolls,"beef,chips,rolls",3.0,2.0,001396.jpg
141,non_vegetarian,indian,home,healthy,like,white_rice_with_fried_chicken,"boiled_rice,chicken,sunflower_oil,chilli_powder,turmeric_powder,salt",4.0,4.0,001398.jpg
142,non_vegetarian,american,restraurant,unhealthy,like,fried_chicken_skin,"chicken,bread_crumbs,oil,fries,salad",2.0,4.0,001428.jpg
143,non_vegetarian,chinese,wok&box,neutral,like,whole_grain_rice,"chicken,beef,shrimps,vegetables,rice",3.0,4.0,001441.jpg
144,non_vegetarian,american_mexican,taco_bell,unhealthy,neutral,crunchwrap_supreme,"black_beans,beef,tomatoes,lettuce,nacho_cheese_sauce,sour_cream,fries",2.0,3.0,001457.jpg
145,vegetarian,chinese,home,healthy,neutral,rice,"butter,olive_oil,rice",4.0,3.0,001460.jpg
146,vegan,indian,home,neutral,neutral,spicy_chickpea_curry_with_plain_steamed_rice,"chickpeas,rice,special_chickpea_spices,mustard_oil,onion,tomato,ginger_garlic_paste,water",3.0,3.0,001474.jpg
147,non_vegetarian,portuguese,restaurant,neutral,like,grilled_chicken_wrap_and_fries,"grilled_bbq_chicken,tortilla,lettuce,cheese,mayonnaise",3.0,4.0,001480.jpg
148,vegetarian,indian,home,very_healthy,like,turmeric_rice_and_grilled_halloumi,"rice,peas,green_beans,carrot,spices,halloumi,onion",5.0,4.0,001492.jpg
149,vegan,portuguese,nandos,neutral,like,spiced_chickpea_pitta_with_chips_and_garlic_bread,"chickpea_and_spinach_patty,cumin,coriander,turmeric,pitta_bread,houmous,rainbow_slaw,red_pepper_chutney,pickled_red_onions,chips,garlic_bread",3.0,4.0,001497.jpg
150,non_vegetarian,american,oowee_diner,very_unhealthy,dislike,loaded_chicken_fries,"chicken,potatos,spring_onion,cheese_sauce",1.0,2.0,001500.jpg
152,vegan,american,home,neutral,like,burger_and_chips_with_salad,"veggie_burger,wholemeal_bun,chips,onion,spring_onion,ketchup,mustard,carrot,green_leaf_lettuce,red_leaf_lettuce,spinach,rocket",3.0,4.0,001515.jpg
153,non_vegetarian,american,home,healthy,strongly_like,lamb_steak_with_vegetable_rice,"lamb,olive_oil,garlic,ginger,butter,hot_sauce,rice,carrot,peas,beans,chilli_oil",4.0,5.0,001525.jpg
154,vegetarian,indian,home,healthy,like,yellow_fried_rice,"rice,salt,pepper,spices,tomatoes",4.0,4.0,001531.jpg
155,vegan,indian,home,very_healthy,like,tamarind_rice,"rice,dried_chili,coriander_seeds,black_pepper,sesame_seeds,chana_dal,asafoetida,peanuts,tamarind,urad_dal,oil,mustard_seeds,turmeric",5.0,4.0,001556.jpg
156,vegetarian,indian,home,neutral,like,rajma_and_rice,"kidney_beans,spices,salt,rice",3.0,4.0,001559.jpg
157,non_vegetarian,british,chicken_shop,very_unhealthy,like,chicken_burger_and_chips,"chicken_fillet,lettuce,spicy_shake,samurai_sauce,spicy_slaw,chips",1.0,4.0,001588.jpg
158,non_vegetarian,american,restaurant,very_unhealthy,neutral,chicken_wings_with_fries_and_garlic_mayonaise,"chicken_wings,baking_powder,salt,black_pepper,potatoes,sunflower_oil,mayonaise,garlic,lemon_juice,olive_oil",1.0,3.0,001591.jpg
160,vegetarian,french,resturant,very_unhealthy,strongly_like,paprika_fries,"potato,chili_powder,paprika_powder,cornflower,vegetable_oil",1.0,5.0,001619.jpg
161,non_vegetarian,american,kfc,healthy,like,fried_chicken_with_fries,"chicken,potatoes",4.0,4.0,001622.jpg
162,vegan,korean,restaurant,healthy,like,rice,"rice,sesame_seeds,vinegar",4.0,4.0,001623.jpg
163,vegetarian,north_indian,home,very_healthy,dislike,buttered_rice_with_chickpea_gravy,"rice,ghee,salt,chickpeas,tomato,onion,channa_masala,",5.0,2.0,001624.jpg
166,vegetarian,indian,home,very_healthy,strongly_like,petite_yellow_lentils_and_rice,"water,cumin,garlic,ginger,onion,red_chilli_powder,turmeric,salt,petite_yellow_lentils",5.0,5.0,001648.jpg
168,vegetarian,belgian,home,neutral,like,french_fries,"potato,oil,ketchup,salt",3.0,4.0,001664.jpg
170,non_vegetarian,american,restaurant,neutral,neutral,lamb_burger_and_fries,"lamb,brioche_bun,lettuce,mayo,onion,tomato,fries",3.0,3.0,001672.jpg
171,non_vegetarian,american,lakers,unhealthy,strongly_like,chicken_fillet_burger_and_chips,"seeded_bun,chicken_fillet,lettuce,mayoniaise,cheese,potato,vegetable_oil",2.0,5.0,001722.jpg
172,non_vegetarian,indo_chinese,home,unhealthy,like,schezwan_chicken_fried_rice,"cooked_basmati_rice,sliced_boneless_chicken,finely_chopped_carrots,cabbage,minced_garlic,green_chilies,soy_sauce,schezwan_sauce,tomato_ketchup,black_pepper_powder,green_onions,oil",2.0,4.0,001727.jpg
173,vegan,south_indian,home,very_healthy,neutral,rice_tossed_in_mixed_lentil_powder,"rice,split_pigeon_peas,chickpeas,green_gram,garlic,black_gram,cumin,roasted_gram,dry_red_chilli,salt,oil",5.0,3.0,001745.jpg
174,vegetarian,american,pizza_hut,neutral,like,potato_wedges,"potato,oil,salt,mixed_spice",3.0,4.0,001755.jpg
175,non_vegetarian,portuguese,nandos,very_unhealthy,strongly_like,boneless_thighs,"chicken,garlic_bread,chips",1.0,5.0,001763.jpg
176,non_vegetarian,chinese,home,neutral,like,chilli_chicken_and_rice,"chicken,soya_sauce,chilli_sauce,ground_black_pepper,cornflour,plain_flour,salt,water,sunflower_oil,red_chilli_powder,vinegar,sugar,tomato_ketchup,onion,green_chilli,garlic,capsicum,ajjinomotto,rice",3.0,4.0,001768.jpg
178,non_vegetarian,british,south_oxhey_fish_and_chips,unhealthy,like,battered_cod_and_chips,"cod,potato,oil,flour",2.0,4.0,001817.jpg
179,vegetarian,indian,restaurant,very_healthy,strongly_like,biryani,"rice,water,salt,cumin,peas,ghee,carrot,french_beans,garlic,onion,ginder,turmeric,red_chilli,salt,garam_masala,biryani_masala",5.0,5.0,001823.jpg
180,vegetarian,french,green_pepper,unhealthy,like,french_fries,"potato,salt_and_cooking_oil",2.0,4.0,001834.jpg
181,non_vegetarian,chinese,restaurant,unhealthy,strongly_like,chicken_fried_rice,"rice,onion,chicken,spices,oil,carrot,beans",2.0,5.0,001864.jpg
183,non_vegetarian,american_mexican,restaurant,healthy,like,mexican_chicken_with_fries_and_salad,"grilled_chicken_leg_and_breast,chilli_powder,cumin_seeds,paprika,oregano,garlic,onion_powder,cilantro,lime_juice,lettuce,onions,lemon,jalapenos,carrot,potatoes",4.0,4.0,001877.jpg
184,non_vegetarian,indian,home,very_healthy,like,rice_and_chicken_curry,"rice,chicken,coconut_milk,chilli,garlic_paste,curry_leaves,turmeric_powder",5.0,4.0,001887.jpg
185,non_vegetarian,american,wendys,unhealthy,neutral,chicken_burger_with_cheesy_fries,"chicken,bread_bun,fries,cheese,mayonaise",2.0,3.0,001893.jpg
186,non_vegetarian,european,restaurant,healthy,like,"marinated_chicken_breast,fresh_salad_and_rice","chicken_breast,olive_oil,pepper,herbs,lemon,lemon_zest,cucumber,tomatoes,onion,iceberg_lettuce,salad_cream,rice,sriracha_sauce",4.0,4.0,001919.jpg
187,non_vegetarian,american,resturaunt,neutral,strongly_like,steak_&_fries,"steak,fries,mixed_salad",3.0,5.0,001924.jpg
